ts-auth-service&qps,ts-basic-service&qps,ts-config-service&qps,ts-contacts-service&qps,ts-inside-payment-service&qps,ts-order-other-service&qps,ts-order-service&qps,ts-preserve-service&qps,ts-price-service&qps,ts-route-service&qps,ts-seat-service&qps,ts-security-service&qps,ts-station-service&qps,ts-ticketinfo-service&qps,ts-train-service&qps,ts-travel-service&qps,slo_reward
0.0,193.36666666666667,61.96666666666667,6.733333333333333,3.1,4.8,132.46666666666667,7.333333333333333,24.233333333333334,267.76666666666665,28.600000000000005,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333335,136.36666666666667,1.0
0.0,193.36666666666667,61.96666666666667,6.733333333333333,3.1,4.8,132.46666666666667,7.333333333333333,24.233333333333334,267.76666666666665,28.600000000000005,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333335,136.36666666666667,1.0
0.0,193.36666666666667,61.96666666666667,6.733333333333333,3.1,4.8,132.46666666666667,7.333333333333333,24.233333333333334,267.76666666666665,28.600000000000005,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333335,136.36666666666667,1.0
0.0,193.36666666666667,61.96666666666667,6.733333333333333,3.1,4.8,132.46666666666667,7.333333333333333,24.233333333333334,267.76666666666665,28.600000000000005,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333335,136.36666666666667,1.0
0.0,193.36666666666667,61.96666666666667,6.733333333333333,3.1,4.8,132.46666666666667,7.333333333333333,24.233333333333334,267.76666666666665,28.600000000000005,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333335,136.36666666666667,1.0
0.0,193.36666666666667,61.96666666666667,6.733333333333333,3.1,4.8,132.46666666666667,7.333333333333333,24.233333333333334,267.76666666666665,28.600000000000005,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333335,136.36666666666667,0.0
0.0,193.36666666666667,61.96666666666667,6.733333333333333,3.1,4.8,132.46666666666667,7.333333333333333,24.233333333333334,267.76666666666665,28.600000000000005,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333335,136.36666666666667,0.0
0.0,193.36666666666667,61.96666666666667,6.733333333333333,3.1,4.8,132.46666666666667,7.333333333333333,24.233333333333334,267.76666666666665,28.600000000000005,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333335,136.36666666666667,1.0
0.0,193.36666666666667,61.96666666666667,6.733333333333333,3.1,4.8,132.46666666666667,7.333333333333333,24.233333333333334,267.76666666666665,28.600000000000005,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333335,136.36666666666667,1.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,132.46666666666667,7.333333333333333,24.233333333333334,267.76666666666665,28.600000000000005,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,0.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,132.46666666666667,7.333333333333333,24.233333333333334,267.76666666666665,28.600000000000005,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,1.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,132.46666666666667,7.333333333333333,24.233333333333334,267.76666666666665,28.600000000000005,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,1.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,132.46666666666667,7.333333333333333,24.233333333333334,267.76666666666665,28.600000000000005,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,1.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,132.46666666666667,7.333333333333333,24.233333333333334,267.76666666666665,28.600000000000005,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,1.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,132.46666666666667,7.333333333333333,24.233333333333334,267.76666666666665,28.600000000000005,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,1.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,132.46666666666667,7.333333333333333,24.233333333333334,267.76666666666665,28.600000000000005,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,1.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,132.46666666666667,7.333333333333333,24.233333333333334,267.76666666666665,28.600000000000005,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,1.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,132.46666666666667,7.333333333333333,24.233333333333334,267.76666666666665,28.600000000000005,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,1.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,132.46666666666667,7.333333333333333,24.233333333333334,267.76666666666665,28.600000000000005,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,1.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,132.46666666666667,7.333333333333333,24.233333333333334,267.76666666666665,28.600000000000005,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,0.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,102.46666666666668,7.333333333333333,24.233333333333334,209.86666666666673,28.6,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,0.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,102.46666666666668,7.333333333333333,24.233333333333334,209.86666666666673,28.6,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,0.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,102.46666666666668,7.333333333333333,24.233333333333334,209.86666666666673,28.6,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,0.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,102.46666666666668,7.333333333333333,24.233333333333334,209.86666666666673,28.6,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,0.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,102.46666666666668,7.333333333333333,24.233333333333334,209.86666666666673,28.6,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,1.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,102.46666666666668,7.333333333333333,24.233333333333334,209.86666666666673,28.6,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,0.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,102.46666666666668,7.333333333333333,24.233333333333334,209.86666666666673,28.6,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,1.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,102.46666666666668,7.333333333333333,24.233333333333334,209.86666666666673,28.6,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,1.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,102.46666666666668,7.333333333333333,24.233333333333334,209.86666666666673,28.6,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,1.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,102.46666666666668,7.333333333333333,24.233333333333334,209.86666666666673,28.6,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,1.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,102.46666666666668,7.333333333333333,24.233333333333334,209.86666666666673,28.6,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,1.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,102.46666666666668,7.333333333333333,24.233333333333334,209.86666666666665,28.6,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,0.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,102.46666666666668,7.333333333333333,24.233333333333334,209.86666666666665,28.6,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,1.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,102.46666666666668,7.333333333333333,24.233333333333334,209.86666666666665,28.6,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,0.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,102.46666666666668,7.333333333333333,24.233333333333334,209.86666666666665,28.6,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,0.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,102.46666666666668,7.333333333333333,24.233333333333334,209.86666666666665,28.6,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,1.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,102.46666666666668,7.333333333333333,24.233333333333334,209.86666666666665,28.6,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,1.0
0.0,193.36666666666667,61.96666666666667,4.033333333333333,2.433333333333333,4.8,102.46666666666668,7.333333333333333,24.233333333333334,209.86666666666665,28.6,5.033333333333333,324.96666666666664,148.33333333333331,126.13333333333333,130.8,0.0
